Sample_ID,Mouse_ID,Group,Tissue,Gene,Ct_Value,Replicate,Experiment_Date,Undetermined
S1879,Mouse90,KO,Thymus,Cd4,19.06,1,2026-03-05,False
S0484,Mouse24,WT,Thymus,Il2,25.15,1,2026-04-29,False
S1385,Mouse66,KO,Thymus,Gapdh,18.39,2,2026-04-01,False
S0792,Mouse38,KO,Thymus,Cd8a,21.12,3,2026-04-18,False
S0800,Mouse39,KO,Spleen,Il2,24.85,2,2026-04-25,False
S0385,Mouse19,KO,Lymph Node,Foxp3,29.5,1,2026-03-11,False
S0751,Mouse36,KO,Spleen,Tnfa,23.38,1,2026-03-21,False
S0423,Mouse21,WT,Thymus,Il2,23.83,3,2026-03-10,False
S0315,Mouse15,WT,Thymus,Gapdh,18.69,3,2026-03-03,False
S1022,Mouse49,HET,Thymus,Cd8a,21.47,2,2026-04-17,False
S0544 ,Mouse26,WT,Lymph Node,Gapdh,19.25,1,2026-04-05,False
S0914,Mouse44,KO,Spleen,Cd4,19.7,2,2026-11-03,False
S0663 ,Mouse32,WT,Lymph Node,Cd4,20.43,3,2026-03-05,False
S0903,Mouse43,WT,Spleen,Gapdh,,3,2026-04-27,True
S1439 ,Mouse69,WT,Lymph Node,Cd4,19.85,2,2026-04-02,False
s0686,Mouse33,HET,Spleen,Cd8a,20.15,2,2026-03-17,False
S1593,Mouse76,KO,Thymus,Tnfa,,3,2026-03-17,False
S0160,Mouse8,WT,Thymus,Cd8a,,1,2026-04-08,True
S1000,Mouse48,WT,Lymph Node,Cd8a,,1,2026-04-05,True
S1237 ,Mouse59,WT,Thymus,Gapdh,17.56,1,2026-03-24,False
S1684,Mouse81,WT,Spleen,Ifng,22.4,1,2026-03-20,False
S0203,Mouse10,WT,Spleen,Cd8a,21.34,2,2026-10-04,False
S1024,Mouse49,HET,Thymus,Tnfa,32.13,1,2026-04-17,False
S1454,Mouse70,HET,Lymph Node,Ifng,22.39,2,2026-03-26,False
S_1129,Mouse54,KO,Thymus,Tnfa,23.04,1,2026-04-28,False
S0113,Mouse6,HET,Thymus,Foxp3,25.98,2,2026-03-22,False
S1714,Mouse82,KO,Thymus,Cd8a,20.82,1,2026-03-16,False
S0981,Mouse47,KO,Spleen,Cd8a,21.42,3,2026-04-18,False
S0923,Mouse44,KO,Spleen,Gapdh,17.08,2,2026-03-11,False
s1495,Mouse72,KO,Thymus,Ifng,22.11,1,2026-03-28,False
S1857,Mouse89,WT,Spleen,Foxp3,25.98,3,2026-03-28,False
S1348,Mouse65,WT,Spleen,Ifng,21.33,1,2026-03-14,False
S1582,Mouse76,KO,Thymus,Foxp3,29.54,1,2026-03-17,False
s0816,Mouse39,KO,Spleen,Tnfa,,3,2026-04-25,False
S1298,Mouse62,HET,Lymph Node,Tnfa,23.36,2,2026-04-03,False
S1228,Mouse59,WT,Thymus,Cd4,19.97,1,2026-03-24,False
S_680,Mouse33,HET,Spleen,Foxp3,,2,2026-03-17,False
S1094,Mouse53,WT,Thymus,Il2,,2,2026-03-30,False
S_81,Mouse4,HET,Lymph Node,Tnfa,22.51,3,2026-04-02,False
s1668,Mouse80,WT,Spleen,Foxp3,26.08,3,2026-03-24,False
S1279,Mouse61,KO,Spleen,Gapdh,17.98,1,2026-03-11,False
S1560,Mouse75,HET,Spleen,Ifng,,3,2026-03-10,True
S0753,Mouse36,KO,Spleen,Tnfa,23.37,3,2026-03-21,False
S1717,Mouse82,KO,Thymus,Tnfa,23.63,1,2026-03-16,False
S_1055,Mouse51,HET,Spleen,Ifng,22.22,2,2026-04-29,False
S0243,Mouse12,WT,Thymus,Cd4,20.23,3,2026-03-04,False
S1277,Mouse61,KO,Spleen,Tnfa,23.65,2,2026-11-03,False
S0642,Mouse31,HET,Spleen,Cd4,19.91,3,2026-06-03,False
S0697,Mouse34,HET,Spleen,Ifng,21.98,1,2026-04-08,False
S0210,Mouse10,WT,Spleen,Gapdh,17.86,3,2026-10-04,False
S1249,Mouse60,HET,Thymus,Cd4,20.08,1,2026-03-01,False
S0771,Mouse37,HET,Spleen,Cd8a,21.16,3,2026-03-03,False
S1662,Mouse80,WT,Spleen,Il2,24.75,3,2026-03-24,False
S0436 ,Mouse21,WT,Thymus,Tnfa,23.3,1,2026-10-03,False
S1064,Mouse51,HET,Spleen,Cd8a,20.38,2,2026-04-29,False
S0975 ,Mouse47,KO,Spleen,Foxp3,,3,2026-04-18,False
s0552,Mouse27,WT,Spleen,Ifng,21.79,3,2026-04-14,False
S1530,Mouse73,WT,Lymph Node,Tnfa,22.66,3,2026-04-14,False
S1335,Mouse64,WT,Lymph Node,Cd4,18.82,3,2026-04-07,False
S_1014,Mouse49,HET,Thymus,Ifng,23.07,3,2026-04-17,False
S1790,Mouse86,WT,Spleen,Ifng,21.89,2,2026-03-18,False
S0467,Mouse23,KO,Spleen,Ifng,21.55,2,2026-04-29,False
s1400,Mouse67,KO,Lymph Node,Cd8a,19.83,2,2026-06-04,False
S1242,Mouse60,HET,Thymus,Il2,23.81,3,2026-03-01,False
S0278,Mouse14,HET,Thymus,Ifng,21.63,2,2026-03-31,False
S1070,Mouse51,HET,Spleen,Gapdh,18.27,2,2026-04-29,False
S1018,Mouse49,HET,Thymus,Cd4,20.11,1,2026-04-17,False
S1258,Mouse60,HET,Thymus,Gapdh,16.71,1,2026-01-03,False
S0723,Mouse35,KO,Lymph Node,Foxp3,29.81,3,2026-03-30,False
s0787,Mouse38,KO,Thymus,Cd4,20.75,1,2026-04-18,False
S1465,Mouse70,HET,Lymph Node,Tnfa,22.15,1,2026-03-26,False
S1245,Mouse60,HET,Thymus,Ifng,23.39,3,2026-01-03,False
S_1302,Mouse62,HET,Lymph Node,Gapdh,18.89,3,2026-04-03,False
S1239,Mouse59,WT,Thymus,Gapdh,18.65,3,2026-03-24,False
S0907,Mouse44,KO,Spleen,Ifng,22.94,1,2026-11-03,False
S0564,Mouse27,WT,Spleen,Tnfa,22.75,3,2026-04-14,False
S0389,Mouse19,KO,Lymph Node,Cd4,19.36,2,2026-03-11,False
S0023,Mouse2,WT,Spleen,Il2,25.54,2,2026-04-02,False
S1858,Mouse89,WT,Spleen,Cd4,20.17,1,2026-03-28,False
S0125 ,Mouse6,HET,Thymus,Gapdh,18.06,2,2026-03-22,False
S1492 ,Mouse72,KO,Thymus,Il2,,1,2026-03-28,True
S0774,Mouse37,HET,Spleen,Tnfa,23.63,3,2026-03-03,False
S0881,Mouse42,KO,Thymus,Gapdh,18.02,2,2026-04-12,False
S1145,Mouse55,KO,Spleen,Cd4,19.98,2,2026-03-29,False
S0051,Mouse3,HET,Thymus,Foxp3,26.35,3,2026-03-04,False
S_1327,Mouse64,WT,Lymph Node,Ifng,21.77,1,2026-07-04,False
S1382,Mouse66,KO,Thymus,Tnfa,22.7,2,2026-01-04,False
S1106,Mouse53,WT,Thymus,Cd8a,20.44,2,2026-03-30,False
S0704,Mouse34,HET,Spleen,Cd4,18.97,2,2026-08-04,False
S_483,Mouse23,KO,Spleen,Gapdh,18.56,3,2026-04-29,False
S1146,Mouse55,KO,Spleen,Cd4,19.43,3,2026-03-29,False
S1809,Mouse87,HET,Spleen,Il2,24.71,3,2026-03-15,False
S0067,Mouse4,HET,Lymph Node,Ifng,22.22,1,2026-02-04,False
S1631,Mouse78,WT,Spleen,Cd8a,21.16,2,2026-04-21,False
S0734,Mouse35,KO,Lymph Node,Gapdh,19.58,2,2026-03-30,False
S1691 ,Mouse81,WT,Spleen,Cd4,18.98,2,2026-03-20,False
S0802,Mouse39,KO,Spleen,Ifng,21.78,1,2026-04-25,False
S1466,Mouse70,HET,Lymph Node,Tnfa,21.94,2,2026-03-26,False
S1845,Mouse88,KO,Thymus,Tnfa,22.82,3,2026-01-04,False
s0908,Mouse44,KO,Spleen,Ifng,21.96,2,2026-03-11,False
s0032,Mouse2,WT,Spleen,Cd4,19.9,2,2026-02-04,False
S0418,Mouse20,WT,Spleen,Gapdh,25.03,1,2026-03-15,False
S0882,Mouse42,KO,Thymus,Gapdh,18.77,3,2026-04-12,False
s0633,Mouse31,HET,Spleen,Il2,25.11,3,2026-03-06,False
S1481,Mouse71,KO,Spleen,Cd4,19.51,2,2026-03-09,False
S_1689,Mouse81,WT,Spleen,Foxp3,25.42,3,2026-03-20,False
S_65,Mouse4,HET,Lymph Node,Il2,,2,2026-02-04,False
S1539,Mouse74,WT,Spleen,Ifng,21.82,3,2026-04-27,False
S1525,Mouse73,WT,Lymph Node,Cd8a,21.54,1,2026-04-14,False
S0078,Mouse4,HET,Lymph Node,Cd8a,,3,2026-04-02,True
S_492,Mouse24,WT,Thymus,Foxp3,25.5,3,2026-04-29,False
S1341,Mouse64,WT,Lymph Node,Tnfa,21.62,3,2026-04-07,False
S1446,Mouse69,WT,Lymph Node,Tnfa,22.16,3,2026-04-02,False
S_533,Mouse26,WT,Lymph Node,Foxp3,26.05,2,2026-04-05,False
S0066,Mouse4,HET,Lymph Node,Il2,23.61,3,2026-04-02,False
S1810,Mouse87,HET,Spleen,Ifng,20.96,1,2026-03-15,False
S0297,Mouse15,WT,Thymus,Il2,24.33,3,2026-03-03,False
S0592,Mouse29,WT,Spleen,Ifng,22.9,1,2026-04-28,False
S0768,Mouse37,HET,Spleen,Cd4,19.0,3,2026-03-03,False
S0725,Mouse35,KO,Lymph Node,Cd4,20.11,2,2026-03-30,False
S1353,Mouse65,WT,Spleen,Foxp3,26.85,3,2026-03-14,False
S0627,Mouse30,HET,Spleen,Tnfa,22.85,3,2026-03-10,False
S1339,Mouse64,WT,Lymph Node,Tnfa,23.7,1,2026-04-07,False
S1842,Mouse88,KO,Thymus,Cd8a,20.75,3,2026-01-04,False
S1529,Mouse73,WT,Lymph Node,Tnfa,23.24,2,2026-04-14,False
S0252 ,Mouse12,WT,Thymus,Gapdh,17.44,3,2026-04-03,False
S1724,Mouse83,KO,Thymus,Il2,27.11,2,2026-03-23,False
S1250,Mouse60,HET,Thymus,Cd4,19.91,2,2026-01-03,False
S1801,Mouse86,WT,Spleen,Tnfa,22.47,1,2026-03-18,False
s0983,Mouse47,KO,Spleen,Tnfa,23.54,2,2026-04-18,False
S1680,Mouse80,WT,Spleen,Gapdh,18.08,3,2026-03-24,False
S0707,Mouse34,HET,Spleen,Cd8a,20.23,2,2026-04-08,False
S0488,Mouse24,WT,Thymus,Ifng,,2,2026-04-29,True
S0274,Mouse14,HET,Thymus,Il2,22.83,1,2026-03-31,False
S1427,Mouse68,HET,Thymus,Gapdh,18.3,2,2026-04-20,False
S1584,Mouse76,KO,Thymus,Foxp3,,3,2026-03-17,True
S0964,Mouse46,KO,Spleen,Gapdh,18.53,1,2026-03-21,False
S0878,Mouse42,KO,Thymus,Tnfa,22.51,2,2026-12-04,False
S1333,Mouse64,WT,Lymph Node,Cd4,19.4,1,2026-04-07,False
S1718,Mouse82,KO,Thymus,Tnfa,22.48,2,2026-03-16,False
S0412,Mouse20,WT,Spleen,Cd8a,19.94,1,2026-03-15,False
S_668,Mouse32,WT,Lymph Node,Tnfa,,2,2026-05-03,True
S0150,Mouse8,WT,Thymus,Il2,24.73,3,2026-08-04,False
S0645,Mouse31,HET,Spleen,Cd8a,20.98,3,2026-06-03,False
S1523,Mouse73,WT,Lymph Node,Cd4,18.28,2,2026-04-14,False
S0219,Mouse11,KO,Lymph Node,Foxp3,29.54,3,2026-04-17,False
S0240,Mouse12,WT,Thymus,Foxp3,25.03,3,2026-04-03,False
S1132,Mouse54,KO,Thymus,Gapdh,17.99,1,2026-04-28,False
S1217,Mouse58,HET,Thymus,Gapdh,18.14,2,2026-04-19,False
S0793,Mouse38,KO,Thymus,Tnfa,23.62,1,2026-04-18,False
S0192,Mouse10,WT,Spleen,Il2,23.31,3,2026-10-04,False
S0334,Mouse16,HET,Spleen,Gapdh,18.52,1,2026-05-04,False
S1260,Mouse60,HET,Thymus,Gapdh,19.5,3,2026-01-03,False
S0963 ,Mouse46,KO,Spleen,Tnfa,23.9,3,2026-03-21,False
S1659,Mouse79,WT,Thymus,Gapdh,17.6,3,2026-03-23,False
S1846,Mouse88,KO,Thymus,Gapdh,18.47,1,2026-01-04,False
S1567,Mouse75,HET,Spleen,Cd8a,21.61,1,2026-10-03,False
S1534,Mouse74,WT,Spleen,Il2,26.96,1,2026-04-27,False
S0583,Mouse28,KO,Spleen,Tnfa,23.45,1,2026-03-28,False
S1807,Mouse87,HET,Spleen,Il2,24.74,1,2026-03-15,False
S_1362,Mouse65,WT,Spleen,Tnfa,24.03,3,2026-03-14,False
S0840,Mouse40,WT,Spleen,Gapdh,17.09,3,2026-03-11,False
S0628,Mouse30,HET,Spleen,Gapdh,,1,2026-10-03,True
S_324,Mouse16,HET,Spleen,Foxp3,25.91,3,2026-04-05,False
s1558,Mouse75,HET,Spleen,Ifng,23.45,1,2026-03-10,False
S1161,Mouse56,WT,Thymus,Ifng,21.64,3,2026-04-04,False
S0779,Mouse38,KO,Thymus,Il2,28.06,2,2026-04-18,False
S1077,Mouse52,KO,Spleen,Ifng,21.44,3,2026-04-17,False
S0940,Mouse45,KO,Thymus,Tnfa,23.43,1,2026-03-15,False
S0438,Mouse21,WT,Thymus,Tnfa,22.52,3,2026-03-10,False
s0120,Mouse6,HET,Thymus,Cd8a,20.16,3,2026-03-22,False
S1458,Mouse70,HET,Lymph Node,Foxp3,,3,2026-03-26,False
S1482 ,Mouse71,KO,Spleen,Cd4,20.0,3,2026-03-09,False
S1027,Mouse49,HET,Thymus,Gapdh,17.98,1,2026-04-17,False
S1254,Mouse60,HET,Thymus,Cd8a,20.2,3,2026-01-03,False
S1310 ,Mouse63,KO,Spleen,Foxp3,29.5,2,2026-12-04,False
S0077,Mouse4,HET,Lymph Node,Cd8a,20.87,2,2026-02-04,False
S1054,Mouse51,HET,Spleen,Ifng,21.95,1,2026-04-29,False
S0901,Mouse43,WT,Spleen,Gapdh,18.08,1,2026-04-27,False
S0372,Mouse18,KO,Spleen,Cd8a,,3,2026-04-19,False
S1765,Mouse85,KO,Thymus,Il2,26.66,1,2026-03-04,False
S_1368,Mouse66,KO,Thymus,Il2,28.28,3,2026-01-04,False
S1869,Mouse89,WT,Spleen,Gapdh,17.84,3,2026-03-28,False
S0942,Mouse45,KO,Thymus,Tnfa,23.86,3,2026-03-15,False
S0578,Mouse28,KO,Spleen,Cd4,19.69,2,2026-03-28,False
S0820,Mouse40,WT,Spleen,Il2,24.4,1,2026-11-03,False
S1392,Mouse67,KO,Lymph Node,Ifng,22.36,3,2026-04-06,False
S1413,Mouse68,HET,Thymus,Ifng,22.73,3,2026-04-20,False
S1742 ,Mouse83,KO,Thymus,Gapdh,18.57,2,2026-03-23,False
S1820,Mouse87,HET,Spleen,Cd8a,20.71,2,2026-03-15,False
S0887,Mouse43,WT,Spleen,Ifng,22.39,2,2026-04-27,False
S0969,Mouse47,KO,Spleen,Il2,27.35,3,2026-04-18,False
S1621,Mouse78,WT,Spleen,Ifng,22.18,1,2026-04-21,False
S0786,Mouse38,KO,Thymus,Foxp3,29.21,3,2026-04-18,False
S1460,Mouse70,HET,Lymph Node,Cd4,,2,2026-03-26,False
S1526 ,Mouse73,WT,Lymph Node,Cd8a,21.47,2,2026-04-14,False
S0302,Mouse15,WT,Thymus,Foxp3,26.49,2,2026-03-03,False
S0690,Mouse33,HET,Spleen,Tnfa,24.05,3,2026-03-17,False
S0813,Mouse39,KO,Spleen,Cd8a,20.98,3,2026-04-25,False
S1062,Mouse51,HET,Spleen,Cd4,19.59,3,2026-04-29,False
S0237,Mouse12,WT,Thymus,Ifng,21.8,3,2026-03-04,False
S1116,Mouse54,KO,Thymus,Il2,26.51,3,2026-04-28,False
S1289,Mouse62,HET,Lymph Node,Foxp3,26.03,2,2026-03-04,False
S0500,Mouse24,WT,Thymus,Tnfa,22.41,2,2026-04-29,False
s1572,Mouse75,HET,Spleen,Tnfa,24.09,3,2026-03-10,False
S1080,Mouse52,KO,Spleen,Foxp3,29.11,3,2026-04-17,False
S0795,Mouse38,KO,Thymus,Tnfa,23.16,3,2026-04-18,False
S1451,Mouse70,HET,Lymph Node,Il2,23.92,2,2026-03-26,False
S1828,Mouse88,KO,Thymus,Il2,23.55,1,2026-04-01,False
S0991,Mouse48,WT,Lymph Node,Ifng,23.04,1,2026-05-04,False
S1303,Mouse63,KO,Spleen,Il2,27.59,1,2026-12-04,False
S0935,Mouse45,KO,Thymus,Cd4,20.34,2,2026-03-15,False
s0388,Mouse19,KO,Lymph Node,Cd4,20.37,1,2026-11-03,False
S0391,Mouse19,KO,Lymph Node,Cd8a,21.07,1,2026-11-03,False
S0744,Mouse36,KO,Spleen,Foxp3,29.08,3,2026-03-21,False
S0353,Mouse17,WT,Spleen,Tnfa,23.04,2,2026-10-03,False
S1218,Mouse58,HET,Thymus,Gapdh,17.07,3,2026-04-19,False
S0236,Mouse12,WT,Thymus,Ifng,29.56,2,2026-04-03,False
S1618,Mouse78,WT,Spleen,Il2,27.79,1,2026-04-21,False
S0481,Mouse23,KO,Spleen,Gapdh,17.47,1,2026-04-29,False
S0568,Mouse28,KO,Spleen,Il2,27.65,1,2026-03-28,False
S_1141,Mouse55,KO,Spleen,Foxp3,25.85,1,2026-03-29,False
S1597,Mouse77,KO,Lymph Node,Il2,27.39,1,2026-03-14,False
S1766,Mouse85,KO,Thymus,Il2,27.45,2,2026-03-04,False
S1485,Mouse71,KO,Spleen,Cd8a,21.57,3,2026-03-09,False
S0121,Mouse6,HET,Thymus,Tnfa,23.35,1,2026-03-22,False
S1637,Mouse78,WT,Spleen,Gapdh,18.02,2,2026-04-21,False
S1025,Mouse49,HET,Thymus,Tnfa,22.67,2,2026-04-17,False
S1087,Mouse52,KO,Spleen,Tnfa,23.58,1,2026-04-17,False
S1273,Mouse61,KO,Spleen,Cd8a,21.32,1,2026-11-03,False
S0927,Mouse45,KO,Thymus,Il2,27.36,3,2026-03-15,False
S0516,Mouse25,KO,Thymus,Cd4,19.27,3,2026-03-21,False
S0224,Mouse11,KO,Lymph Node,Cd8a,26.39,2,2026-04-17,False
s1415,Mouse68,HET,Thymus,Foxp3,26.53,2,2026-04-20,False
S0614,Mouse30,HET,Spleen,Ifng,22.92,2,2026-10-03,False
S0844,Mouse41,KO,Spleen,Ifng,21.77,1,2026-03-27,False
S1246,Mouse60,HET,Thymus,Foxp3,26.24,1,2026-03-01,False
S0053,Mouse3,HET,Thymus,Cd4,,2,2026-03-04,False
S1748,Mouse84,KO,Spleen,Ifng,21.04,2,2026-04-02,False
S_486,Mouse24,WT,Thymus,Il2,24.34,3,2026-04-29,False
S1813,Mouse87,HET,Spleen,Foxp3,26.23,1,2026-03-15,False
S_819,Mouse39,KO,Spleen,Gapdh,17.97,3,2026-04-25,False
S0156,Mouse8,WT,Thymus,Foxp3,34.95,3,2026-08-04,False
S0601,Mouse29,WT,Spleen,Cd8a,21.29,1,2026-04-28,False
S1521,Mouse73,WT,Lymph Node,Foxp3,26.12,3,2026-04-14,False
S0249,Mouse12,WT,Thymus,Tnfa,22.86,3,2026-04-03,False
S0762,Mouse37,HET,Spleen,Ifng,22.37,3,2026-03-03,False
S1732,Mouse83,KO,Thymus,Cd4,20.39,1,2026-03-23,False
S1131,Mouse54,KO,Thymus,Tnfa,22.73,3,2026-04-28,False
S_543,Mouse26,WT,Lymph Node,Tnfa,23.17,3,2026-04-05,False
S0794,Mouse38,KO,Thymus,Tnfa,22.11,2,2026-04-18,False
S1142,Mouse55,KO,Spleen,Foxp3,26.24,2,2026-03-29,False
S1476,Mouse71,KO,Spleen,Ifng,22.73,3,2026-09-03,False
S0629,Mouse30,HET,Spleen,Gapdh,16.38,2,2026-03-10,False
s0151,Mouse8,WT,Thymus,Ifng,22.14,1,2026-08-04,False
S1557,Mouse75,HET,Spleen,Il2,23.2,3,2026-03-10,False
S_292,Mouse14,HET,Thymus,Gapdh,18.37,1,2026-03-31,False
S0382,Mouse19,KO,Lymph Node,Ifng,22.74,1,2026-03-11,False
S0687,Mouse33,HET,Spleen,Cd8a,20.07,3,2026-03-17,False
S1225,Mouse59,WT,Thymus,Foxp3,27.0,1,2026-03-24,False
S0898,Mouse43,WT,Spleen,Tnfa,23.12,1,2026-04-27,False
S0855,Mouse41,KO,Spleen,Cd8a,20.69,3,2026-03-27,False
S1072,Mouse52,KO,Spleen,Il2,28.15,1,2026-04-17,False
s1890,Mouse90,KO,Thymus,Gapdh,17.63,3,2026-03-05,False
s1448,Mouse69,WT,Lymph Node,Gapdh,24.81,2,2026-04-02,False
S1603,Mouse77,KO,Lymph Node,Foxp3,29.57,1,2026-03-14,False
S0892,Mouse43,WT,Spleen,Cd4,20.95,1,2026-04-27,False
S0616,Mouse30,HET,Spleen,Foxp3,25.74,1,2026-03-10,False
S_155,Mouse8,WT,Thymus,Foxp3,25.29,2,2026-08-04,False
S1194 ,Mouse57,WT,Thymus,Tnfa,22.92,3,2026-04-13,False
S1625,Mouse78,WT,Spleen,Foxp3,29.06,2,2026-04-21,False
S1888,Mouse90,KO,Thymus,Gapdh,17.67,1,2026-05-03,False
s1687,Mouse81,WT,Spleen,Foxp3,26.16,1,2026-03-20,False
S0323,Mouse16,HET,Spleen,Foxp3,26.59,2,2026-04-05,False
S1467,Mouse70,HET,Lymph Node,Tnfa,22.08,3,2026-03-26,False
S1283,Mouse62,HET,Lymph Node,Il2,24.01,2,2026-04-03,False
s0083,Mouse4,HET,Lymph Node,Gapdh,18.55,2,2026-02-04,False
S0513,Mouse25,KO,Thymus,Foxp3,29.88,3,2026-03-21,False
S1447,Mouse69,WT,Lymph Node,Gapdh,18.43,1,2026-02-04,False
S0930,Mouse45,KO,Thymus,Ifng,22.87,3,2026-03-15,False
S1548,Mouse74,WT,Spleen,Cd8a,21.05,3,2026-04-27,False
S1358,Mouse65,WT,Spleen,Cd8a,21.1,2,2026-03-14,False
S0011,Mouse1,KO,Spleen,Cd4,19.66,2,2026-03-15,False
S0832,Mouse40,WT,Spleen,Cd8a,21.71,1,2026-11-03,False
S0033 ,Mouse2,WT,Spleen,Cd4,19.68,3,2026-02-04,False
s1437,Mouse69,WT,Lymph Node,Foxp3,25.63,3,2026-04-02,False
S0414,Mouse20,WT,Spleen,Cd8a,19.78,3,2026-03-15,False
S0581,Mouse28,KO,Spleen,Cd8a,20.73,2,2026-03-28,False
S1470,Mouse70,HET,Lymph Node,Gapdh,19.53,3,2026-03-26,False
S1804,Mouse86,WT,Spleen,Gapdh,17.71,1,2026-03-18,False
S0615,Mouse30,HET,Spleen,Ifng,21.91,3,2026-10-03,False
S_1046,Mouse50,HET,Thymus,Tnfa,23.74,2,2026-03-15,False
S1015,Mouse49,HET,Thymus,Foxp3,25.02,1,2026-04-17,False
S0090 ,Mouse5,KO,Lymph Node,Ifng,21.8,3,2026-09-04,False
S1613 ,Mouse77,KO,Lymph Node,Tnfa,23.59,2,2026-03-14,False
S0602 ,Mouse29,WT,Spleen,Cd8a,21.13,2,2026-04-28,False
S1238,Mouse59,WT,Thymus,Gapdh,18.74,2,2026-03-24,False
S1743,Mouse83,KO,Thymus,Gapdh,18.97,3,2026-03-23,False
S0134,Mouse7,WT,Lymph Node,Foxp3,25.9,2,2026-04-10,False
S1371,Mouse66,KO,Thymus,Ifng,22.41,3,2026-04-01,False
S0556,Mouse27,WT,Spleen,Cd4,19.87,1,2026-04-14,False
S1032,Mouse50,HET,Thymus,Il2,22.29,3,2026-03-15,False
S1486,Mouse71,KO,Spleen,Tnfa,23.41,1,2026-09-03,False
S0321 ,Mouse16,HET,Spleen,Ifng,22.05,3,2026-04-05,False
S1679,Mouse80,WT,Spleen,Gapdh,16.84,2,2026-03-24,False
S1212,Mouse58,HET,Thymus,Cd8a,20.39,3,2026-04-19,False
s1648,Mouse79,WT,Thymus,Cd4,,1,2026-03-23,False
S_635,Mouse31,HET,Spleen,Ifng,21.84,2,2026-03-06,False
S0553 ,Mouse27,WT,Spleen,Foxp3,26.01,1,2026-04-14,False
s1329,Mouse64,WT,Lymph Node,Ifng,22.52,3,2026-07-04,False
S1056,Mouse51,HET,Spleen,Ifng,22.78,3,2026-04-29,False
S1479,Mouse71,KO,Spleen,Foxp3,29.97,3,2026-09-03,False
S0797,Mouse38,KO,Thymus,Gapdh,18.05,2,2026-04-18,False
S1578,Mouse76,KO,Thymus,Il2,28.71,3,2026-03-17,False
S1265,Mouse61,KO,Spleen,Ifng,22.55,2,2026-03-11,False
S1623,Mouse78,WT,Spleen,Ifng,21.88,3,2026-04-21,False
S0175,Mouse9,KO,Spleen,Foxp3,25.42,1,2026-04-18,False
S0767,Mouse37,HET,Spleen,Cd4,19.96,2,2026-03-03,False
S0246,Mouse12,WT,Thymus,Cd8a,22.11,3,2026-03-04,False
S1081,Mouse52,KO,Spleen,Cd4,20.64,1,2026-04-17,False
s1753,Mouse84,KO,Spleen,Cd4,20.07,1,2026-04-02,False
S0146,Mouse7,WT,Lymph Node,Gapdh,18.71,2,2026-10-04,False
S0091,Mouse5,KO,Lymph Node,Foxp3,29.26,1,2026-09-04,False
S0683,Mouse33,HET,Spleen,Cd4,19.69,2,2026-03-17,False
s0311,Mouse15,WT,Thymus,Tnfa,22.51,2,2026-03-03,False
S_1384,Mouse66,KO,Thymus,Gapdh,17.44,1,2026-04-01,False
S0094,Mouse5,KO,Lymph Node,Cd4,20.16,1,2026-04-09,False
s1488,Mouse71,KO,Spleen,Tnfa,23.48,3,2026-03-09,False
S0925,Mouse45,KO,Thymus,Il2,,1,2026-03-15,False
S1602,Mouse77,KO,Lymph Node,Ifng,22.69,3,2026-03-14,False
S1036,Mouse50,HET,Thymus,Foxp3,25.33,1,2026-03-15,False
S1401,Mouse67,KO,Lymph Node,Cd8a,21.35,3,2026-06-04,False
S0244,Mouse12,WT,Thymus,Cd8a,21.99,1,2026-03-04,False
S1112,Mouse53,WT,Thymus,Gapdh,17.84,2,2026-03-30,False
S0215,Mouse11,KO,Lymph Node,Ifng,22.41,2,2026-04-17,False
S_1198,Mouse58,HET,Thymus,Il2,25.33,1,2026-04-19,False
S0999,Mouse48,WT,Lymph Node,Cd4,19.44,3,2026-04-05,False
S0854,Mouse41,KO,Spleen,Cd8a,22.08,2,2026-03-27,False
S0426,Mouse21,WT,Thymus,Ifng,22.24,3,2026-10-03,False
S_1671,Mouse80,WT,Spleen,Cd4,20.72,3,2026-03-24,False
S1143,Mouse55,KO,Spleen,Foxp3,25.89,3,2026-03-29,False
S_1144,Mouse55,KO,Spleen,Cd4,20.33,1,2026-03-29,False
s0227,Mouse11,KO,Lymph Node,Tnfa,33.7,2,2026-04-17,False
S1544,Mouse74,WT,Spleen,Cd4,19.32,2,2026-04-27,False
S0001,Mouse1,KO,Spleen,Il2,24.3,1,2026-03-15,False
S1419,Mouse68,HET,Thymus,Cd4,20.2,3,2026-04-20,False
S0402,Mouse20,WT,Spleen,Il2,24.04,3,2026-03-15,False
S1429,Mouse69,WT,Lymph Node,Il2,25.38,1,2026-02-04,False
S1104,Mouse53,WT,Thymus,Cd4,20.21,3,2026-03-30,False
S0085,Mouse5,KO,Lymph Node,Il2,27.18,1,2026-09-04,False
S0163,Mouse8,WT,Thymus,Tnfa,22.48,1,2026-04-08,False
S0115,Mouse6,HET,Thymus,Cd4,20.69,1,2026-03-22,False
S0671,Mouse32,WT,Lymph Node,Gapdh,18.43,2,2026-03-05,False
S1175,Mouse56,WT,Thymus,Gapdh,17.58,2,2026-04-04,False
S1449,Mouse69,WT,Lymph Node,Gapdh,18.72,3,2026-04-02,False
S1816,Mouse87,HET,Spleen,Cd4,19.55,1,2026-03-15,False
S1393,Mouse67,KO,Lymph Node,Foxp3,28.99,1,2026-04-06,False
S0890,Mouse43,WT,Spleen,Foxp3,26.13,2,2026-04-27,False
S0626,Mouse30,HET,Spleen,Tnfa,22.1,2,2026-10-03,False
