Sample_ID,Mouse_ID,Group,Tissue,Gene,Ct_Value,Replicate,Experiment_Date
S1258,Mouse60,HET,Thymus,GAPDH,16.71,1,2026.03.01
S0723,M-35,KO,Lymph Node,Foxp3,29.81,3,03-30-2026
s1848,M-88,KO,thymus,Gapdh,18.84,3,04-01-2026
s0787,Mouse 38,KO,Thymus,Cd4,20.75,1,18.04.2026
S1465,M-70,Het,Lymph Node,TNFA,22.15,1,26/03/2026
S1245,Mouse60,HET,Thymus,Ifng,23.39,3,2026.03.01
S_1302,Mouse62,Het,Lymph Node,Gapdh,18.89,3,2026.03.04
S1239,M-59,WT,Thymus,Gapdh,18.65,3,24.03.2026
S0907,Mouse44,KO,spleen,Ifng,22.94,1,2026.03.11
S0564,M-27,WT,spleen,Tnfa,22.75,3,14.04.2026
S0389,Mouse 19,KO,Lymph Node,Cd4,19.36,2,11.03.2026
S0023,Mouse 2,WT,Spleen,Il2,25.54,2,02.04.2026
S1858,Mouse89,WT ,spleen,Cd4,20.17,1,28/03/2026
S0125 ,Mouse 6,Het,thymus,Gapdh,18.06,2,2026.03.22
S1492 ,Mouse72,ko,Thymus,IL2,Undetermined,1,28.03.2026
S0774,Mouse 37,Het,Spleen,Tnfa,23.63,3,03/03/2026
S0881,mouse_42,KO,Thymus,Gapdh,18.02,2,12.04.2026
S1145,Mouse55,KO ,spleen,Cd4,19.98,2,29/03/2026
S0051,Mouse 3,Het,Thymus,Foxp3,26.35,3,04/03/2026
S_1327,Mouse 64,WT,Lymph Node,IFNG,21.77,1,2026.04.07
S1382,M-66,KO,thymus,Tnfa,22.7,2,04-01-2026
S1106,Mouse 53,WT,thymus,Cd8a,20.44,2,30.03.2026
S0704,Mouse 34,HET,spleen,Cd4,18.97,2,04-08-2026
S_483,Mouse 23,ko,spleen,Gapdh,18.56,3,29/04/2026
S1146,Mouse55,KO ,spleen,Cd4,19.43,3,29.03.2026
S1809,Mouse87,Het,spleen,IL2,24.71,3,15/03/2026
S0067,Mouse 4,Het,Lymph Node,Ifng,22.22,1,04-02-2026
S1631,Mouse78,wt,spleen,Cd8a,21.16,2,21.04.2026
S0734,M-35,KO,Lymph Node,Gapdh,19.58,2,30.03.2026
S1691 ,Mouse81,WT,Spleen,Cd4,18.98,2,20.03.2026
S0802,M-39,ko,spleen,Ifng,21.78,1,25.04.2026
S1466,M-70,Het,Lymph Node,TNFA,21.94,2,26/03/2026
S1845,M-88,KO,thymus,Tnfa,22.82,3,2026.04.01
s0908,Mouse44,KO,spleen,Ifng,21.96,2,11.03.2026
s0032,Mouse 2,WT,Spleen,Cd4,19.9,2,04-02-2026
S0418,mouse_20,WT,spleen,GAPDH,25.03,1,15.03.2026
S0882,mouse_42,KO,Thymus,Gapdh,18.77,3,12/04/2026
s0633,M-31,HET,Spleen,Il2,25.11,3,06/03/2026
S1481,mouse_71,KO,spleen,Cd4,19.51,2,09.03.2026
S_1689,Mouse81,WT,Spleen,Foxp3,25.42,3,20/03/2026
S_65,Mouse 4,Het,Lymph Node,Il2,,2,04-02-2026
S1539,Mouse74,WT,Spleen,Ifng,21.82,3,27.04.2026
S1525,Mouse73,WT,Lymph Node,CD8A,21.54,1,2026.04.14
S0078,Mouse 4,Het,Lymph Node,Cd8a,Undetermined,3,02/04/2026
S_492,Mouse24,WT,thymus,FOXP3,25.5,3,29.04.2026
S1341,Mouse 64,WT,Lymph Node,TNFA,21.62,3,07/04/2026
S1446,Mouse69,WT,Lymph Node,Tnfa,22.16,3,02.04.2026
S_533,Mouse 26,WT ,Lymph Node,Foxp3,26.05,2,05/04/2026
S0066,Mouse 4,Het,Lymph Node,Il2,23.61,3,02/04/2026
S1810,Mouse87,Het,spleen,Ifng,20.96,1,15/03/2026
S0297,Mouse 15,WT ,thymus,Il2,24.33,3,03-03-2026
S0592,mouse_29,wt,spleen,IFNG,22.9,1,04-28-2026
S0768,Mouse 37,Het,Spleen,Cd4,19.0,3,03-03-2026
S0725,M-35,KO,Lymph Node,Cd4,20.11,2,03-30-2026
S1353,mouse_65,WT,spleen,Foxp3,26.85,3,2026.03.14
S0627,Mouse30,Het,Spleen,TNFA,22.85,3,10/03/2026
S1339,Mouse 64,WT,Lymph Node,Tnfa,23.7,1,07/04/2026
S1842,M-88,KO,thymus,Cd8a,20.75,3,2026.04.01
S1529,Mouse73,WT,Lymph Node,Tnfa,23.24,2,14.04.2026
S0252 ,Mouse12,WT ,thymus,Gapdh,17.44,3,03/04/2026
S1724,M-83,KO,Thymus,Il2,27.11,2,2026.03.23
S1250,Mouse60,HET,Thymus,Cd4,19.91,2,2026.03.01
S1801,mouse_86,WT,spleen,Tnfa,22.47,1,18.03.2026
s0983,M-47,KO,spleen,Tnfa,23.54,2,18/04/2026
S1680,Mouse 80,WT,spleen,Gapdh,18.08,3,2026.03.24
S0707,Mouse 34,HET,spleen,Cd8a,20.23,2,08.04.2026
S0488,Mouse24,WT,thymus,Ifng,Undetermined,2,29.04.2026
S0274,Mouse 14,HET,Thymus,Il2,22.83,1,2026.03.31
S1427,Mouse68,Het,thymus,GAPDH,18.3,2,20.04.2026
S1584,Mouse76,KO ,thymus,Foxp3,Undetermined,3,17/03/2026
S0964,M-46,KO ,Spleen,Gapdh,18.53,1,03-21-2026
S0878,mouse_42,KO,Thymus,Tnfa,22.51,2,04-12-2026
S1333,Mouse 64,WT,Lymph Node,Cd4,19.4,1,07.04.2026
S1718,mouse_82,KO,Thymus,Tnfa,22.48,2,16/03/2026
S0412,mouse_20,WT,spleen,CD8A,19.94,1,2026.03.15
S_668,M-32,WT,Lymph Node,Tnfa,Undetermined,2,03-05-2026
S0150,mouse_8,WT,thymus,Il2,24.73,3,04-08-2026
S0645,M-31,HET,Spleen,Cd8a,20.98,3,2026.03.06
S1523,Mouse73,WT,Lymph Node,CD4,18.28,2,04-14-2026
S0219,M-11,KO,Lymph Node,Foxp3,29.54,3,17.04.2026
S0240,Mouse12,WT ,thymus,Foxp3,25.03,3,03.04.2026
S1132,Mouse 54,KO,thymus,Gapdh,17.99,1,28/04/2026
S1217,mouse_58,Het,thymus,GAPDH,18.14,2,19.04.2026
S0793,Mouse 38,KO,Thymus,TNFA,23.62,1,18.04.2026
S0192,M-10,wt,Spleen,IL2,23.31,3,2026.04.10
S0334,Mouse16,Het,spleen,Gapdh,18.52,1,04-05-2026
S1260,Mouse60,HET,Thymus,Gapdh,19.5,3,03-01-2026
S0963 ,M-46,KO ,Spleen,Tnfa,23.9,3,2026.03.21
S1659,mouse_79,WT,thymus,Gapdh,17.6,3,23/03/2026
S1846,M-88,KO,thymus,Gapdh,18.47,1,04-01-2026
S1567,mouse_75,Het,Spleen,Cd8a,21.61,1,03-10-2026
S1534,Mouse74,WT,Spleen,Il2,26.96,1,2026.04.27
S0583,Mouse28,KO,Spleen,Tnfa,23.45,1,2026.03.28
S1807,Mouse87,Het,spleen,Il2,24.74,1,03-15-2026
S_1362,mouse_65,WT,spleen,Tnfa,24.03,3,03-14-2026
S0840,Mouse 40,WT,spleen,GAPDH,17.09,3,11/03/2026
S0628,Mouse30,Het,Spleen,Gapdh,Undetermined,1,03-10-2026
S_324,Mouse16,Het,spleen,Foxp3,25.91,3,05/04/2026
s1558,mouse_75,Het,Spleen,Ifng,23.45,1,10/03/2026
S1161,M-56,WT,thymus,Ifng,21.64,3,2026.04.04
S0779,Mouse 38,KO,Thymus,Il2,28.06,2,18.04.2026
S1077,mouse_52,KO,Spleen,Ifng,21.44,3,17/04/2026
S0940,mouse_45,ko,thymus,Tnfa,23.43,1,2026.03.15
S0438,Mouse 21,WT ,thymus,Tnfa,22.52,3,10.03.2026
s0120,Mouse 6,Het,thymus,Cd8a,20.16,3,22.03.2026
S1458,M-70,Het,Lymph Node,FOXP3,,3,26.03.2026
S1482 ,mouse_71,KO,spleen,Cd4,20.0,3,09.03.2026
S1027,Mouse49,Het,thymus,Gapdh,17.98,1,2026.04.17
S1254,Mouse60,HET,Thymus,Cd8a,20.2,3,03-01-2026
S1310 ,mouse_63,KO,spleen,Foxp3,29.5,2,2026.04.12
S0077,Mouse 4,Het,Lymph Node,Cd8a,20.87,2,04-02-2026
S1054,Mouse51,HET,spleen,Ifng,21.95,1,29/04/2026
S0901,Mouse43,WT,Spleen,Gapdh,18.08,1,27/04/2026
S0372,Mouse 18,ko,Spleen,Cd8a,,3,2026.04.19
S1765,mouse_85,KO,Thymus,Il2,26.66,1,2026.04.03
S_1368,M-66,KO,thymus,IL2,28.28,3,04-01-2026
S1869,Mouse89,WT ,spleen,Gapdh,17.84,3,28.03.2026
S0942,mouse_45,ko,thymus,Tnfa,23.86,3,2026.03.15
S0578,Mouse28,KO,Spleen,CD4,19.69,2,2026.03.28
S0820,Mouse 40,WT,spleen,Il2,24.4,1,03-11-2026
S1392,Mouse67,KO,Lymph Node,Ifng,22.36,3,06/04/2026
S1413,Mouse68,Het,thymus,IFNG,22.73,3,2026.04.20
S1742 ,M-83,KO,Thymus,Gapdh,18.57,2,23/03/2026
S1820,Mouse87,Het,spleen,Cd8a,20.71,2,03-15-2026
S0887,Mouse43,WT,Spleen,Ifng,22.39,2,27/04/2026
S0969,M-47,KO,spleen,Il2,27.35,3,04-18-2026
S1621,Mouse78,wt,spleen,Ifng,22.18,1,2026.04.21
S0786,Mouse 38,KO,Thymus,Foxp3,29.21,3,2026.04.18
S1460,M-70,Het,Lymph Node,Cd4,,2,26.03.2026
S1526 ,Mouse73,WT,Lymph Node,CD8A,21.47,2,14/04/2026
S0302,Mouse 15,WT ,thymus,FOXP3,26.49,2,03/03/2026
S0690,M-33,Het,spleen,Tnfa,24.05,3,17/03/2026
S0813,M-39,ko,spleen,Cd8a,20.98,3,04-25-2026
S1062,Mouse51,HET,spleen,Cd4,19.59,3,29/04/2026
S0237,Mouse12,WT ,thymus,Ifng,21.8,3,2026.04.03
S1116,Mouse 54,KO,thymus,IL2,26.51,3,2026.04.28
S1289,Mouse62,Het,Lymph Node,Foxp3,26.03,2,04/03/2026
S0500,Mouse24,WT,thymus,Tnfa,22.41,2,2026.04.29
s1572,mouse_75,Het,Spleen,Tnfa,24.09,3,10/03/2026
S1080,mouse_52,KO,Spleen,Foxp3,29.11,3,17/04/2026
S0795,Mouse 38,KO,Thymus,Tnfa,23.16,3,18/04/2026
S1451,M-70,Het,Lymph Node,Il2,23.92,2,26.03.2026
S1828,M-88,KO,thymus,Il2,23.55,1,01.04.2026
S0991,M-48,WT,Lymph Node,Ifng,23.04,1,04-05-2026
S1303,mouse_63,KO,spleen,Il2,27.59,1,2026.04.12
S0935,mouse_45,ko,thymus,Cd4,20.34,2,03-15-2026
s0388,Mouse 19,KO,Lymph Node,Cd4,20.37,1,03-11-2026
S0391,Mouse 19,KO,Lymph Node,Cd8a,21.07,1,2026.03.11
S0744,Mouse36,KO,Spleen,Foxp3,29.08,3,03-21-2026
S0353,Mouse 17,WT,spleen,Tnfa,23.04,2,03-10-2026
S1218,mouse_58,Het,thymus,Gapdh,17.07,3,2026.04.19
S0236,Mouse12,WT ,thymus,IFNG,29.56,2,03/04/2026
S1618,Mouse78,wt,spleen,Il2,27.79,1,21/04/2026
S0481,Mouse 23,ko,spleen,Gapdh,17.47,1,29.04.2026
S0568,Mouse28,KO,Spleen,IL2,27.65,1,03-28-2026
S_1141,Mouse55,KO ,spleen,Foxp3,25.85,1,2026.03.29
S1597,Mouse 77,KO ,Lymph Node,Il2,27.39,1,03-14-2026
S1766,mouse_85,KO,Thymus,Il2,27.45,2,2026.04.03
S1485,mouse_71,KO,spleen,Cd8a,21.57,3,09/03/2026
S0121,Mouse 6,Het,thymus,Tnfa,23.35,1,03-22-2026
S1637,Mouse78,wt,spleen,Gapdh,18.02,2,04-21-2026
S1025,Mouse49,Het,thymus,Tnfa,22.67,2,17/04/2026
S1087,mouse_52,KO,Spleen,Tnfa,23.58,1,2026.04.17
S1273,mouse_61,ko,spleen,CD8A,21.32,1,2026.03.11
S0927,mouse_45,ko,thymus,IL2,27.36,3,2026.03.15
S0516,mouse_25,KO,thymus,CD4,19.27,3,21.03.2026
S0224,M-11,KO,Lymph Node,Cd8a,26.39,2,17.04.2026
s1415,Mouse68,Het,thymus,Foxp3,26.53,2,2026.04.20
S0614,Mouse30,Het,Spleen,Ifng,22.92,2,2026.03.10
S0844,mouse_41,KO ,Spleen,IFNG,21.77,1,2026.03.27
S1246,Mouse60,HET,Thymus,Foxp3,26.24,1,01.03.2026
S0053,Mouse 3,Het,Thymus,Cd4,,2,04/03/2026
S1748,Mouse84,KO,Spleen,Ifng,21.04,2,02.04.2026
S_486,Mouse24,WT,thymus,Il2,24.34,3,29/04/2026
S1813,Mouse87,Het,spleen,Foxp3,26.23,1,03-15-2026
S_819,M-39,ko,spleen,Gapdh,17.97,3,04-25-2026
S0156,mouse_8,WT,thymus,Foxp3,34.95,3,2026.04.08
S0601,mouse_29,wt,spleen,Cd8a,21.29,1,04-28-2026
S1521,Mouse73,WT,Lymph Node,Foxp3,26.12,3,14.04.2026
S0249,Mouse12,WT ,thymus,Tnfa,22.86,3,03/04/2026
S0762,Mouse 37,Het,Spleen,Ifng,22.37,3,03.03.2026
S1732,M-83,KO,Thymus,Cd4,20.39,1,03-23-2026
S1131,Mouse 54,KO,thymus,Tnfa,22.73,3,28.04.2026
S_543,Mouse 26,WT ,Lymph Node,TNFA,23.17,3,05/04/2026
S0794,Mouse 38,KO,Thymus,Tnfa,22.11,2,04-18-2026
S1142,Mouse55,KO ,spleen,Foxp3,26.24,2,2026.03.29
S1476,mouse_71,KO,spleen,Ifng,22.73,3,03-09-2026
S0629,Mouse30,Het,Spleen,Gapdh,16.38,2,10/03/2026
s0151,mouse_8,WT,thymus,Ifng,22.14,1,04-08-2026
S1557,mouse_75,Het,Spleen,IL2,23.2,3,10/03/2026
S_292,Mouse 14,HET,Thymus,Gapdh,18.37,1,31/03/2026
S0382,Mouse 19,KO,Lymph Node,Ifng,22.74,1,11/03/2026
S0687,M-33,Het,spleen,CD8A,20.07,3,17.03.2026
S1225,M-59,WT,Thymus,Foxp3,27.0,1,24/03/2026
S0898,Mouse43,WT,Spleen,Tnfa,23.12,1,04-27-2026
S0855,mouse_41,KO ,Spleen,Cd8a,20.69,3,27.03.2026
S1072,mouse_52,KO,Spleen,IL2,28.15,1,17.04.2026
s1890,mouse_90,KO,Thymus,Gapdh,17.63,3,05/03/2026
s1448,Mouse69,WT,Lymph Node,Gapdh,24.81,2,02.04.2026
S1603,Mouse 77,KO ,Lymph Node,Foxp3,29.57,1,14/03/2026
S0892,Mouse43,WT,Spleen,Cd4,20.95,1,2026.04.27
S0656,M-32,WT,Lymph Node,Ifng,21.78,2,05.03.2026
S0616,Mouse30,Het,Spleen,Foxp3,25.74,1,10/03/2026
S_155,mouse_8,WT,thymus,Foxp3,25.29,2,04-08-2026
S1194 ,M-57,WT,Thymus,Tnfa,22.92,3,13.04.2026
S1625,Mouse78,wt,spleen,Foxp3,29.06,2,21/04/2026
S1888,mouse_90,KO,Thymus,Gapdh,17.67,1,2026.03.05
s1687,Mouse81,WT,Spleen,Foxp3,26.16,1,20/03/2026
S0323,Mouse16,Het,spleen,Foxp3,26.59,2,05.04.2026
S1467,M-70,Het,Lymph Node,Tnfa,22.08,3,2026.03.26
S1283,Mouse62,Het,Lymph Node,Il2,24.01,2,2026.03.04
s0083,Mouse 4,Het,Lymph Node,Gapdh,18.55,2,2026.04.02
S0513,mouse_25,KO,thymus,Foxp3,29.88,3,21.03.2026
S1447,Mouse69,WT,Lymph Node,Gapdh,18.43,1,2026.04.02
S0930,mouse_45,ko,thymus,Ifng,22.87,3,03-15-2026
S1548,Mouse74,WT,Spleen,Cd8a,21.05,3,04-27-2026
S1358,mouse_65,WT,spleen,CD8A,21.1,2,14.03.2026
S0011,mouse_1,ko,Spleen,Cd4,19.66,2,15.03.2026
S0832,Mouse 40,WT,spleen,Cd8a,21.71,1,2026.03.11
S0033 ,Mouse 2,WT,Spleen,Cd4,19.68,3,04-02-2026
s1437,Mouse69,WT,Lymph Node,Foxp3,25.63,3,02/04/2026
S0414,mouse_20,WT,spleen,CD8A,19.78,3,03-15-2026
S0581,Mouse28,KO,Spleen,Cd8a,20.73,2,03-28-2026
S1470,M-70,Het,Lymph Node,GAPDH,19.53,3,26.03.2026
S1804,mouse_86,WT,spleen,GAPDH,17.71,1,18.03.2026
S0615,Mouse30,Het,Spleen,Ifng,21.91,3,03-10-2026
S_1046,Mouse 50,Het,Thymus,TNFA,23.74,2,15/03/2026
S1015,Mouse49,Het,thymus,Foxp3,25.02,1,17/04/2026
S0090 ,M-5,KO,Lymph Node,Ifng,21.8,3,04-09-2026
S1613 ,Mouse 77,KO ,Lymph Node,Tnfa,23.59,2,14/03/2026
S0602 ,mouse_29,wt,spleen,Cd8a,21.13,2,04-28-2026
S1238,M-59,WT,Thymus,Gapdh,18.74,2,24/03/2026
S1743,M-83,KO,Thymus,GAPDH,18.97,3,03-23-2026
S0134,Mouse 7,WT,Lymph Node,Foxp3,25.9,2,10.04.2026
S1371,M-66,KO,thymus,Ifng,22.41,3,01/04/2026
S0556,M-27,WT,spleen,Cd4,19.87,1,2026.04.14
S1032,Mouse 50,Het,Thymus,Il2,22.29,3,03-15-2026
S1486,mouse_71,KO,spleen,Tnfa,23.41,1,2026.03.09
S0321 ,Mouse16,Het,spleen,Ifng,22.05,3,05/04/2026
S1679,Mouse 80,WT,spleen,Gapdh,16.84,2,24.03.2026
S1212,mouse_58,Het,thymus,CD8A,20.39,3,2026.04.19
s1648,mouse_79,WT,thymus,CD4,,1,03-23-2026
S_635,M-31,HET,Spleen,Ifng,21.84,2,06.03.2026
S0553 ,M-27,WT,spleen,Foxp3,26.01,1,14.04.2026
s1329,Mouse 64,WT,Lymph Node,Ifng,22.52,3,04-07-2026
S1056,Mouse51,HET,spleen,IFNG,22.78,3,04-29-2026
S1479,mouse_71,KO,spleen,Foxp3,29.97,3,03-09-2026
S0797,Mouse 38,KO,Thymus,Gapdh,18.05,2,04-18-2026
S1578,Mouse76,KO ,thymus,IL2,28.71,3,03-17-2026
S1265,mouse_61,ko,spleen,IFNG,22.55,2,11/03/2026
S1623,Mouse78,wt,spleen,Ifng,21.88,3,21.04.2026
S0175,Mouse 9,KO ,spleen,Foxp3,25.42,1,04-18-2026
S0767,Mouse 37,Het,Spleen,Cd4,19.96,2,03.03.2026
S0246,Mouse12,WT ,thymus,Cd8a,22.11,3,2026.04.03
S1081,mouse_52,KO,Spleen,Cd4,20.64,1,17.04.2026
s1753,Mouse84,KO,Spleen,Cd4,20.07,1,02/04/2026
S0146,Mouse 7,WT,Lymph Node,Gapdh,18.71,2,04-10-2026
S0091,M-5,KO,Lymph Node,Foxp3,29.26,1,2026.04.09
S0683,M-33,Het,spleen,Cd4,19.69,2,17.03.2026
s0311,Mouse 15,WT ,thymus,Tnfa,22.51,2,03.03.2026
S_1384,M-66,KO,thymus,GAPDH,17.44,1,01/04/2026
S0094,M-5,KO,Lymph Node,Cd4,20.16,1,09.04.2026
s1488,mouse_71,KO,spleen,Tnfa,23.48,3,09.03.2026
S0925,mouse_45,ko,thymus,Il2,,1,15/03/2026
S1602,Mouse 77,KO ,Lymph Node,Ifng,22.69,3,2026.03.14
S1036,Mouse 50,Het,Thymus,Foxp3,25.33,1,03-15-2026
S1401,Mouse67,KO,Lymph Node,Cd8a,21.35,3,2026.04.06
S0244,Mouse12,WT ,thymus,Cd8a,21.99,1,2026.04.03
S1112,Mouse 53,WT,thymus,GAPDH,17.84,2,30.03.2026
S0215,M-11,KO,Lymph Node,Ifng,22.41,2,2026.04.17
S_1198,mouse_58,Het,thymus,Il2,25.33,1,04-19-2026
S0999,M-48,WT,Lymph Node,Cd4,19.44,3,05/04/2026
S0854,mouse_41,KO ,Spleen,Cd8a,22.08,2,27/03/2026
S0426,Mouse 21,WT ,thymus,Ifng,22.24,3,03-10-2026
S_1671,Mouse 80,WT,spleen,Cd4,20.72,3,03-24-2026
S1143,Mouse55,KO ,spleen,FOXP3,25.89,3,2026.03.29
S_1144,Mouse55,KO ,spleen,Cd4,20.33,1,03-29-2026
s0227,M-11,KO,Lymph Node,Tnfa,33.7,2,04-17-2026
S1544,Mouse74,WT,Spleen,Cd4,19.32,2,27/04/2026
S0001,mouse_1,ko,Spleen,Il2,24.3,1,15/03/2026
S1419,Mouse68,Het,thymus,Cd4,20.2,3,20/04/2026
S0402,mouse_20,WT,spleen,Il2,24.04,3,15.03.2026
S1429,Mouse69,WT,Lymph Node,Il2,25.38,1,2026.04.02
S1104,Mouse 53,WT,thymus,Cd4,20.21,3,2026.03.30
S0085,M-5,KO,Lymph Node,IL2,27.18,1,2026.04.09
S0163,mouse_8,WT,thymus,Tnfa,22.48,1,08/04/2026
S0115,Mouse 6,Het,thymus,Cd4,20.69,1,2026.03.22
S0671,M-32,WT,Lymph Node,Gapdh,18.43,2,05.03.2026
S1175,M-56,WT,thymus,Gapdh,17.58,2,2026.04.04
S1449,Mouse69,WT,Lymph Node,Gapdh,18.72,3,02/04/2026
S1816,Mouse87,Het,spleen,Cd4,19.55,1,2026.03.15
S1393,Mouse67,KO,Lymph Node,Foxp3,28.99,1,06.04.2026
S0890,Mouse43,WT,Spleen,Foxp3,26.13,2,27.04.2026
S0626,Mouse30,Het,Spleen,Tnfa,22.1,2,03-10-2026
S1855,Mouse89,WT ,spleen,Foxp3,25.26,1,2026.03.28
S0953 ,M-46,KO ,Spleen,Foxp3,25.73,2,2026.03.21
S0808,M-39,ko,spleen,Cd4,19.83,1,04-25-2026
S0259,mouse_13,WT,Thymus,Foxp3,,1,06/03/2026
s0625,Mouse30,Het,Spleen,TNFA,22.84,1,10/03/2026
S0827 ,Mouse 40,WT,spleen,Foxp3,25.62,2,11/03/2026
S0235,Mouse12,WT ,thymus,IFNG,22.3,1,03.04.2026
S0136,Mouse 7,WT,Lymph Node,Cd4,19.47,1,2026.04.10
S_617,Mouse30,Het,Spleen,Foxp3,25.39,2,2026.03.10
S1856,Mouse89,WT ,spleen,Foxp3,25.64,2,2026.03.28
S0837 ,Mouse 40,WT,spleen,Tnfa,22.67,3,2026.03.11
S0843,mouse_41,KO ,Spleen,Il2,27.13,3,27.03.2026
S_960,M-46,KO ,Spleen,Cd8a,20.97,3,2026.03.21
S0593,mouse_29,wt,spleen,Ifng,22.39,2,04-28-2026
S1315,mouse_63,KO,spleen,Cd8a,19.47,1,2026.04.12
S1292,Mouse62,Het,Lymph Node,Cd4,20.29,2,04.03.2026
S_344,Mouse 17,WT,spleen,Foxp3,29.47,2,03-10-2026
S1566,mouse_75,Het,Spleen,CD4,19.73,3,10/03/2026
S1496,Mouse72,ko,Thymus,Ifng,22.35,2,03-28-2026
S0294,Mouse 14,HET,Thymus,Gapdh,18.07,3,31.03.2026
S_365,Mouse 18,ko,Spleen,Foxp3,25.13,2,2026.04.19
S0179,Mouse 9,KO ,spleen,Cd4,19.93,2,2026.04.18
S0660,M-32,WT,Lymph Node,Foxp3,27.05,3,03-05-2026
S0997,M-48,WT,Lymph Node,Cd4,21.78,1,05/04/2026
S0015,mouse_1,ko,Spleen,Cd8a,21.49,3,03-15-2026
S1111,Mouse 53,WT,thymus,GAPDH,18.77,1,2026.03.30
S1395 ,Mouse67,KO,Lymph Node,Foxp3,29.83,3,2026.04.06
S0166,mouse_8,WT,thymus,Gapdh,17.54,1,08/04/2026
S1782,mouse_85,KO,Thymus,Tnfa,21.7,3,2026.04.03
S1360,mouse_65,WT,spleen,Tnfa,23.04,1,14/03/2026
S_60,Mouse 3,Het,Thymus,Tnfa,22.75,3,04/03/2026
S0710,Mouse 34,HET,spleen,TNFA,Undetermined,2,04-08-2026
S0677,M-33,Het,spleen,Ifng,22.36,2,17.03.2026
S1379,M-66,KO,thymus,Cd8a,21.36,2,04-01-2026
S0781,Mouse 38,KO,Thymus,IFNG,22.06,1,18/04/2026
S0425,Mouse 21,WT ,thymus,Ifng,28.64,2,03-10-2026
S0293,Mouse 14,HET,Thymus,Gapdh,17.99,2,31/03/2026
S1066,Mouse51,HET,spleen,Tnfa,23.27,1,2026.04.29
s1699,Mouse81,WT,Spleen,Gapdh,17.87,1,20.03.2026
S0330,Mouse16,Het,spleen,CD8A,21.15,3,2026.04.05
S0430,Mouse 21,WT ,thymus,Cd4,19.44,1,03-10-2026
S1013,Mouse49,Het,thymus,Ifng,21.94,2,2026.04.17
S0080,Mouse 4,Het,Lymph Node,Tnfa,22.69,2,02/04/2026
S1053,Mouse51,HET,spleen,Il2,24.73,3,2026.04.29
S_938,mouse_45,ko,thymus,Cd8a,21.8,2,15.03.2026
S_835,Mouse 40,WT,spleen,Tnfa,22.5,1,11/03/2026
S0750,Mouse36,KO,Spleen,CD8A,20.66,3,21/03/2026
S0891,Mouse43,WT,Spleen,Foxp3,26.15,3,2026.04.27
S0255,mouse_13,WT,Thymus,Il2,22.8,3,2026.03.06
S1645,mouse_79,WT,thymus,Foxp3,27.08,1,23/03/2026
S1483,mouse_71,KO,spleen,Cd8a,29.82,1,03-09-2026
S_1854,Mouse89,WT ,spleen,Ifng,22.97,3,28/03/2026
S1408,Mouse68,Het,thymus,Il2,,1,2026.04.20
S1338,Mouse 64,WT,Lymph Node,Cd8a,20.98,3,2026.04.07
S1109,Mouse 53,WT,thymus,Tnfa,23.43,2,2026.03.30
S0137,Mouse 7,WT,Lymph Node,Cd4,19.79,2,10.04.2026
S1136,Mouse55,KO ,spleen,IL2,22.91,2,29.03.2026
S1219,M-59,WT,Thymus,Il2,24.2,1,03-24-2026
s0853,mouse_41,KO ,Spleen,CD8A,20.98,1,03-27-2026
S1203,mouse_58,Het,thymus,Ifng,21.52,3,19/04/2026
S0724,M-35,KO,Lymph Node,Cd4,19.56,1,30.03.2026
s0860,mouse_41,KO ,Spleen,GAPDH,17.68,2,27.03.2026
S0970,M-47,KO,spleen,Ifng,21.59,1,18/04/2026
S0497,Mouse24,WT,thymus,Cd8a,20.65,2,04-29-2026
S0951,M-46,KO ,Spleen,IFNG,21.73,3,21/03/2026
S0806,M-39,ko,spleen,Foxp3,25.69,2,2026.04.25
S0130,Mouse 7,WT,Lymph Node,Ifng,21.27,1,10.04.2026
S0338,Mouse 17,WT,spleen,Il2,28.32,2,03-10-2026
S1889,mouse_90,KO,Thymus,Gapdh,17.53,2,03-05-2026
S0609,mouse_29,wt,spleen,Gapdh,17.41,3,04-28-2026
S1149,Mouse55,KO ,spleen,Cd8a,21.58,3,03-29-2026
S0196,M-10,wt,Spleen,FOXP3,26.63,1,2026.04.10
S1251,Mouse60,HET,Thymus,Cd4,20.42,3,01/03/2026
S1293,Mouse62,Het,Lymph Node,Cd4,20.04,3,2026.03.04
S1871,mouse_90,KO,Thymus,IL2,27.84,2,03-05-2026
S0910,Mouse44,KO,spleen,Foxp3,27.13,1,11/03/2026
S0585,Mouse28,KO,Spleen,Tnfa,23.52,3,28/03/2026
S_104,M-5,KO,Lymph Node,Gapdh,18.1,2,2026.04.09
S1755,Mouse84,KO,Spleen,Cd4,20.03,3,2026.04.02
S1771,mouse_85,KO,Thymus,Foxp3,38.33,1,2026.04.03
S0720,M-35,KO,Lymph Node,Ifng,21.23,3,30.03.2026
S0885,Mouse43,WT,Spleen,Il2,23.18,3,2026.04.27
S0777,Mouse 37,Het,Spleen,Gapdh,Undetermined,3,03.03.2026
S_850,mouse_41,KO ,Spleen,Cd4,19.52,1,03-27-2026
S0895,Mouse43,WT,Spleen,Cd8a,21.36,1,04-27-2026
S0228,M-11,KO,Lymph Node,TNFA,23.5,3,17/04/2026
S1784,mouse_85,KO,Thymus,Gapdh,18.65,2,03/04/2026
S_1326,Mouse 64,WT,Lymph Node,Il2,23.9,3,07.04.2026
